name,KO,genome,sign,protein,E-value
nifN,K02592,GCF_000015045.1,*,WP_011737299.1,2.80E-168
nifB,K02585,GCF_000015125.1,*,WP_011744620.1,6.00E-165
nifN,K02592,GCF_000015125.1,*,WP_011744621.1,6.90E-177
nifK,K02591,GCF_000015125.1,*,WP_011744622.1,1.60E-173
nifD,K02586,GCF_000015125.1,*,WP_011744623.1,1.00E-201
nifH,K02588,GCF_000015125.1,*,WP_011744626.1,1.70E-147
nifH,K02588,GCF_000015485.1,*,WP_011176593.1,8.50E-145
nifB,K02585,GCF_000015485.1,*,WP_011787304.1,5.90E-171
nifN,K02592,GCF_000015485.1,*,WP_011787305.1,8.10E-191
nifE,K02587,GCF_000015485.1,*,WP_011787306.1,2.50E-174
nifK,K02591,GCF_000015485.1,*,WP_011787308.1,2.90E-170
nifD,K02586,GCF_000015485.1,*,WP_011787309.1,5.00E-196
nifB,K02585,GCF_000015505.1,*,WP_011800975.1,3.90E-209
nifN,K02592,GCF_000015505.1,*,WP_011801710.1,3.20E-195
nifE,K02587,GCF_000015505.1,*,WP_011801711.1,2.20E-249
nifK,K02591,GCF_000015505.1,*,WP_011801728.1,1.60E-182
nifD,K02586,GCF_000015505.1,*,WP_011801729.1,3.40E-215
nifH,K02588,GCF_000015505.1,*,WP_011801730.1,1.20E-146
nifE,K02587,GCF_000015585.1,*,WP_011813080.1,8.20E-223
nifN,K02592,GCF_000015585.1,*,WP_011813081.1,1.30E-169
nifK,K02591,GCF_000015585.1,*,WP_011813089.1,5.40E-186
nifD,K02586,GCF_000015585.1,*,WP_011813090.1,1.10E-205
nifH,K02588,GCF_000015585.1,*,WP_011813091.1,2.90E-150
nifH,K02588,GCF_000015765.1,*,WP_011832542.1,3.80E-133
nifB,K02585,GCF_000015765.1,*,WP_011833052.1,1.60E-145
nifH,K02588,GCF_000015765.1,*,WP_011833413.1,1.10E-127
nifB,K02585,GCF_000015825.1,*,WP_011843498.1,3.00E-148
nifH,K02588,GCF_000015825.1,*,WP_011844772.1,4.10E-139
nifN,K02592,GCF_000016165.1,*,WP_011879114.1,1.90E-169
nifE,K02587,GCF_000016165.1,*,WP_011879115.1,4.60E-181
nifK,K02591,GCF_000016165.1,*,WP_011879116.1,3.80E-176
nifD,K02586,GCF_000016165.1,*,WP_011879117.1,1.60E-199
nifH,K02588,GCF_000016165.1,*,WP_011879120.1,7.40E-150
nifB,K02585,GCF_000016165.1,*,WP_049755943.1,1.10E-144
nifE,K02587,GCF_000016185.1,*,WP_012568802.1,1.80E-277
nifN,K02592,GCF_000016185.1,*,WP_012568802.1,2.20E-181
nifK,K02591,GCF_000016185.1,*,WP_012568803.1,2.00E-189
nifD,K02586,GCF_000016185.1,*,WP_012568804.1,8.90E-211
nifH,K02588,GCF_000016185.1,*,WP_012568805.1,2.10E-147
nifB,K02585,GCF_000016185.1,*,WP_012568812.1,2.30E-195
nifB,K02585,GCF_000016525.1,*,WP_004035521.1,1.10E-125
nifH,K02588,GCF_000016525.1,*,WP_011954712.1,1.70E-125
nifB,K02585,GCF_000016545.1,*,WP_011917958.1,1.20E-119
nifK,K02591,GCF_000016545.1,*,WP_011917960.1,3.20E-156
nifD,K02586,GCF_000016545.1,*,WP_011917961.1,2.10E-189
nifH,K02588,GCF_000016545.1,*,WP_011917964.1,2.30E-149
nifH,K02588,GCF_000016745.1,*,WP_011938101.1,4.50E-151
nifD,K02586,GCF_000016745.1,*,WP_011938102.1,7.90E-202
nifK,K02591,GCF_000016745.1,*,WP_011938103.1,1.20E-175
nifE,K02587,GCF_000016745.1,*,WP_011938127.1,2.00E-256
nifN,K02592,GCF_000016745.1,*,WP_011938127.1,1.40E-168
nifB,K02585,GCF_000016745.1,*,WP_011938135.1,3.80E-131
nifB,K02585,GCF_000016985.1,*,WP_012064607.1,3.20E-179
nifN,K02592,GCF_000016985.1,*,WP_012064608.1,2.10E-167
nifE,K02587,GCF_000016985.1,*,WP_012064609.1,8.30E-183
nifK,K02591,GCF_000016985.1,*,WP_012064610.1,1.40E-174
nifD,K02586,GCF_000016985.1,*,WP_012064611.1,4.10E-196
nifH,K02588,GCF_000016985.1,*,WP_012064614.1,1.90E-148
nifN,K02592,GCF_000017165.1,*,WP_011971877.1,2.60E-155
nifK,K02591,GCF_000017165.1,*,WP_011971877.1,3.90E-151
nifE,K02587,GCF_000017165.1,*,WP_011971878.1,8.70E-184
nifK,K02591,GCF_000017165.1,*,WP_011971879.1,2.10E-160
nifD,K02586,GCF_000017165.1,*,WP_011971880.1,7.30E-170
nifH,K02588,GCF_000017165.1,*,WP_011971883.1,2.30E-139
nifH,K02588,GCF_000017165.1,*,WP_012065966.1,5.00E-125
nifB,K02585,GCF_000017165.1,*,WP_012066340.1,9.40E-124
nifH,K02588,GCF_000017185.1,*,WP_011973224.1,1.60E-130
nifB,K02585,GCF_000017185.1,*,WP_011973303.1,2.70E-122
nifH,K02588,GCF_000017185.1,*,WP_011973932.1,5.10E-129
nifK,K02591,GCF_000017185.1,*,WP_011974138.1,2.20E-148
nifH,K02588,GCF_000017185.1,*,WP_011974142.1,3.50E-140
nifB,K02585,GCF_000017625.1,*,WP_012106205.1,7.00E-145
nifH,K02588,GCF_000017625.1,*,WP_012106688.1,4.70E-145
nifD,K02586,GCF_000017625.1,*,WP_012106691.1,9.10E-199
nifK,K02591,GCF_000017625.1,*,WP_012106692.1,4.00E-171
nifE,K02587,GCF_000017625.1,*,WP_012106693.1,1.30E-170
nifN,K02592,GCF_000017625.1,*,WP_012106694.1,1.20E-158
nifH,K02588,GCF_000017625.1,*,WP_012107653.1,5.70E-136
nifK,K02591,GCF_000017805.1,*,WP_012122494.1,7.40E-154
nifN,K02592,GCF_000017805.1,*,WP_012122494.1,5.20E-146
nifD,K02586,GCF_000017805.1,*,WP_012122495.1,4.10E-169
nifB,K02585,GCF_000017805.1,*,WP_012122496.1,8.40E-133
nifH,K02588,GCF_000017805.1,*,WP_012122497.1,6.50E-147
nifB,K02585,GCF_000017845.1,*,WP_009546634.1,4.00E-208
nifH,K02588,GCF_000017845.1,*,WP_009546639.1,2.70E-151
nifD,K02586,GCF_000017845.1,*,WP_009546640.1,9.30E-209
nifK,K02591,GCF_000017845.1,*,WP_009546641.1,1.80E-185
nifE,K02587,GCF_000017845.1,*,WP_009546643.1,2.10E-241
nifN,K02592,GCF_000017845.1,*,WP_009546644.1,1.80E-192
nifH,K02588,GCF_000018325.1,*,WP_012158187.1,3.80E-132
nifH,K02588,GCF_000019165.1,*,WP_012282218.1,1.10E-152
nifD,K02586,GCF_000019165.1,*,WP_012282219.1,3.10E-206
nifK,K02591,GCF_000019165.1,*,WP_012282220.1,4.90E-180
nifE,K02587,GCF_000019165.1,*,WP_012282221.1,8.60E-197
nifN,K02592,GCF_000019165.1,*,WP_012282222.1,8.60E-157
nifB,K02585,GCF_000019165.1,*,WP_012282225.1,1.40E-129
nifB,K02585,GCF_000019665.1,*,WP_012462793.1,1.20E-218
nifE,K02587,GCF_000019665.1,*,WP_012464208.1,3.20E-249
nifD,K02586,GCF_000019665.1,*,WP_012464210.1,4.50E-215
nifH,K02588,GCF_000019665.1,*,WP_012464212.1,2.80E-150
nifK,K02591,GCF_000019665.1,*,WP_048810527.1,5.50E-195
nifN,K02592,GCF_000019665.1,*,WP_079200443.1,5.80E-196
nifE,K02587,GCF_000019785.1,*,WP_012346375.1,6.70E-246
nifN,K02592,GCF_000019785.1,*,WP_012346380.1,9.10E-198
nifB,K02585,GCF_000019785.1,*,WP_012346434.1,2.30E-211
nifH,K02588,GCF_000019785.1,*,WP_012346460.1,8.70E-146
nifD,K02586,GCF_000019785.1,*,WP_012346461.1,4.30E-213
nifK,K02591,GCF_000019785.1,*,WP_012346462.1,4.90E-186
nifH,K02588,GCF_000019845.1,*,WP_012383484.1,2.30E-146
nifD,K02586,GCF_000019845.1,*,WP_012383485.1,2.70E-213
nifK,K02591,GCF_000019845.1,*,WP_012383486.1,5.30E-193
nifE,K02587,GCF_000019845.1,*,WP_012383487.1,9.00E-260
nifN,K02592,GCF_000019845.1,*,WP_012383488.1,1.40E-196
nifK,K02591,GCF_000019845.1,*,WP_012384596.1,5.00E-185
nifB,K02585,GCF_000019845.1,*,WP_244396002.1,3.30E-215
nifN,K02592,GCF_000020025.1,*,WP_012407195.1,9.80E-192
nifE,K02587,GCF_000020025.1,*,WP_012407196.1,1.50E-247
nifK,K02591,GCF_000020025.1,*,WP_012407198.1,2.50E-190
nifH,K02588,GCF_000020025.1,*,WP_012407220.1,2.60E-152
nifB,K02585,GCF_000020025.1,*,WP_012407225.1,5.90E-213
nifH,K02588,GCF_000020025.1,*,WP_012407784.1,1.00E-149
nifH,K02588,GCF_000020025.1,*,WP_012412139.1,2.50E-151
nifE,K02587,GCF_000020025.1,*,WP_012412140.1,6.90E-198
nifN,K02592,GCF_000020025.1,*,WP_012412141.1,4.20E-176
nifD,K02586,GCF_000020025.1,*,WP_041565131.1,1.80E-192
nifE,K02587,GCF_000020045.1,*,WP_012406757.1,2.90E-245
nifN,K02592,GCF_000020045.1,*,WP_012406758.1,2.00E-189
nifB,K02585,GCF_000020045.1,*,WP_012406770.1,1.30E-205
nifH,K02588,GCF_000020045.1,*,WP_012406781.1,2.70E-145
nifD,K02586,GCF_000020045.1,*,WP_012406782.1,1.60E-210
nifK,K02591,GCF_000020045.1,*,WP_012406783.1,3.10E-181
nifH,K02588,GCF_000020045.1,*,WP_012406824.1,3.20E-145
nifB,K02585,GCF_000020365.1,*,WP_012662778.1,2.50E-161
nifH,K02588,GCF_000020365.1,*,WP_012663225.1,2.40E-161
nifH,K02588,GCF_000020365.1,*,WP_015902868.1,1.20E-145
nifD,K02586,GCF_000020365.1,*,WP_015902871.1,1.40E-191
nifK,K02591,GCF_000020365.1,*,WP_015902872.1,1.30E-164
nifE,K02587,GCF_000020365.1,*,WP_015902873.1,4.10E-181
nifN,K02592,GCF_000020365.1,*,WP_015902874.1,7.10E-174
nifB,K02585,GCF_000020365.1,*,WP_015902875.1,7.30E-161
nifB,K02585,GCF_000020385.1,*,WP_012468507.1,8.10E-133
nifE,K02587,GCF_000020385.1,*,WP_012468721.1,3.10E-253
nifN,K02592,GCF_000020385.1,*,WP_012468721.1,2.70E-167
nifK,K02591,GCF_000020385.1,*,WP_012468730.1,7.30E-179
nifD,K02586,GCF_000020385.1,*,WP_012468731.1,4.50E-198
nifH,K02588,GCF_000020385.1,*,WP_012468732.1,2.70E-153
nifH,K02588,GCF_000020385.1,*,WP_012469288.1,1.90E-151
nifB,K02585,GCF_000020465.1,*,WP_012465642.1,5.80E-161
nifN,K02592,GCF_000020465.1,*,WP_012465643.1,1.90E-180
nifE,K02587,GCF_000020465.1,*,WP_012465644.1,1.40E-180
nifK,K02591,GCF_000020465.1,*,WP_012465645.1,1.70E-175
nifD,K02586,GCF_000020465.1,*,WP_012465646.1,2.20E-200
nifH,K02588,GCF_000020465.1,*,WP_012465649.1,2.90E-149
nifH,K02588,GCF_000020505.1,*,WP_012502848.1,2.60E-149
nifD,K02586,GCF_000020505.1,*,WP_012502851.1,8.50E-202
nifK,K02591,GCF_000020505.1,*,WP_012502852.1,4.90E-171
nifE,K02587,GCF_000020505.1,*,WP_012502853.1,3.00E-177
nifN,K02592,GCF_000020505.1,*,WP_012502854.1,1.20E-177
nifB,K02585,GCF_000020505.1,*,WP_012502855.1,8.00E-166
nifB,K02585,GCF_000020525.1,*,WP_012499576.1,1.00E-162
nifN,K02592,GCF_000020525.1,*,WP_012499577.1,2.10E-178
nifE,K02587,GCF_000020525.1,*,WP_012499578.1,9.70E-177
nifK,K02591,GCF_000020525.1,*,WP_012499579.1,2.80E-175
nifD,K02586,GCF_000020525.1,*,WP_012499580.1,1.10E-193
nifH,K02588,GCF_000020525.1,*,WP_012499583.1,4.70E-149
nifH,K02588,GCF_000020525.1,*,WP_012500369.1,2.60E-140
nifD,K02586,GCF_000020525.1,*,WP_012500372.1,2.00E-175
anfG,K00531,GCF_000020525.1,*,WP_012500373.1,2.10E-55
nifK,K02591,GCF_000020525.1,*,WP_012500374.1,1.40E-154
nifH,K02588,GCF_000020625.1,*,WP_012506178.1,3.40E-148
nifD,K02586,GCF_000020625.1,*,WP_012506181.1,2.50E-198
nifK,K02591,GCF_000020625.1,*,WP_012506182.1,2.40E-171
nifE,K02587,GCF_000020625.1,*,WP_012506183.1,5.80E-178
nifN,K02592,GCF_000020625.1,*,WP_012506184.1,1.60E-177
nifB,K02585,GCF_000020625.1,*,WP_012506185.1,7.20E-165
nifH,K02588,GCF_000020645.1,*,WP_012508646.1,2.70E-149
nifD,K02586,GCF_000020645.1,*,WP_012508649.1,5.90E-198
nifK,K02591,GCF_000020645.1,*,WP_012508650.1,1.40E-171
nifE,K02587,GCF_000020645.1,*,WP_012508651.1,8.00E-182
nifN,K02592,GCF_000020645.1,*,WP_012508652.1,6.60E-178
nifB,K02585,GCF_000020645.1,*,WP_012508653.1,9.30E-163
nifH,K02588,GCF_000020725.1,*,WP_012530508.1,6.90E-152
nifE,K02587,GCF_000020725.1,*,WP_012530511.1,4.60E-256
nifN,K02592,GCF_000020725.1,*,WP_012530511.1,5.20E-169
nifB,K02585,GCF_000020725.1,*,WP_012530517.1,1.70E-131
nifD,K02586,GCF_000020725.1,*,WP_041262729.1,1.10E-201
nifB,K02585,GCF_000020985.1,*,WP_012545348.1,2.90E-131
nifK,K02591,GCF_000020985.1,*,WP_012545394.1,5.70E-187
nifD,K02586,GCF_000020985.1,*,WP_012546033.1,1.10E-202
nifH,K02588,GCF_000020985.1,*,WP_012546613.1,1.40E-148
nifE,K02587,GCF_000020985.1,*,WP_012546796.1,5.50E-210
nifH,K02588,GCF_000021005.1,*,WP_002720705.1,5.80E-148
nifH,K02588,GCF_000021005.1,*,WP_009565928.1,1.60E-139
nifK,K02591,GCF_000021005.1,*,WP_012641371.1,4.70E-150
anfG,K00531,GCF_000021005.1,*,WP_012641372.1,1.30E-53
nifD,K02586,GCF_000021005.1,*,WP_012641373.1,1.60E-173
nifE,K02587,GCF_000021005.1,*,WP_015921034.1,3.40E-256
nifK,K02591,GCF_000021005.1,*,WP_015921035.1,2.70E-186
nifD,K02586,GCF_000021005.1,*,WP_015921036.1,5.80E-208
nifB,K02585,GCF_000021005.1,*,WP_015921041.1,1.80E-197
nifN,K02592,GCF_000021005.1,*,WP_041669652.1,4.40E-178
nifH,K02588,GCF_000021045.1,*,WP_012698831.1,2.10E-152
nifD,K02586,GCF_000021045.1,*,WP_012698832.1,8.50E-211
nifK,K02591,GCF_000021045.1,*,WP_012698833.1,9.00E-191
nifE,K02587,GCF_000021045.1,*,WP_012698838.1,1.00E-231
nifN,K02592,GCF_000021045.1,*,WP_012698839.1,8.40E-187
nifK,K02591,GCF_000021045.1,*,WP_012698948.1,9.10E-143
vnfG,K22898,GCF_000021045.1,*,WP_012698949.1,1.80E-52
nifH,K02588,GCF_000021045.1,*,WP_012698955.1,1.20E-149
nifN,K02592,GCF_000021045.1,*,WP_012698964.1,1.50E-178
nifE,K02587,GCF_000021045.1,*,WP_012698965.1,2.00E-208
nifK,K02591,GCF_000021045.1,*,WP_012703359.1,4.10E-153
anfG,K00531,GCF_000021045.1,*,WP_012703360.1,7.10E-59
nifD,K02586,GCF_000021045.1,*,WP_012703361.1,8.10E-177
nifH,K02588,GCF_000021045.1,*,WP_012703362.1,2.90E-142
nifB,K02585,GCF_000021045.1,*,WP_012703541.1,8.00E-213
nifB,K02585,GCF_000021325.1,*,WP_012222795.1,3.30E-202
nifH,K02588,GCF_000021325.1,*,WP_012222808.1,1.20E-147
nifD,K02586,GCF_000021325.1,*,WP_012222814.1,2.40E-212
nifK,K02591,GCF_000021325.1,*,WP_012222816.1,2.10E-188
nifN,K02592,GCF_000021325.1,*,WP_012222820.1,7.00E-191
nifE,K02587,GCF_000021325.1,*,WP_012553848.1,8.50E-242
nifN,K02592,GCF_000021745.1,*,WP_012592581.1,1.20E-199
nifE,K02587,GCF_000021745.1,*,WP_012592582.1,1.30E-256
nifK,K02591,GCF_000021745.1,*,WP_012592583.1,1.20E-194
nifD,K02586,GCF_000021745.1,*,WP_012592584.1,4.40E-216
nifH,K02588,GCF_000021745.1,*,WP_012592585.1,1.30E-146
nifB,K02585,GCF_000021745.1,*,WP_012592599.1,7.60E-219
nifB,K02585,GCF_000021805.1,*,WP_012595099.1,2.50E-206
nifH,K02588,GCF_000021805.1,*,WP_012595104.1,6.40E-147
nifD,K02586,GCF_000021805.1,*,WP_012595105.1,5.10E-211
nifK,K02591,GCF_000021805.1,*,WP_012595106.1,3.10E-192
nifE,K02587,GCF_000021805.1,*,WP_012595107.1,1.10E-243
nifN,K02592,GCF_000021805.1,*,WP_012595108.1,1.60E-187
nifN,K02592,GCF_000021825.1,*,WP_015954149.1,1.80E-188
nifE,K02587,GCF_000021825.1,*,WP_015954150.1,6.30E-236
nifK,K02591,GCF_000021825.1,*,WP_015954151.1,7.60E-193
nifD,K02586,GCF_000021825.1,*,WP_015954152.1,1.40E-212
nifH,K02588,GCF_000021825.1,*,WP_015954153.1,8.10E-149
